Country,Year,Ministry Or Department,Additional Info,Pay  (UOM:INR(IndianRupees)),Dearness Allowance (UOM:INR(IndianRupees)),House Rent Allowance (UOM:INR(IndianRupees)),Compensatory City Allowance (Cca) (UOM:INR(IndianRupees)),Overtime Allowance (Ota) (UOM:INR(IndianRupees)),Others (UOM:INR(IndianRupees)),Travel Allowances (UOM:INR(IndianRupees)),Bonus (UOM:INR(IndianRupees)),Honorarium (UOM:INR(IndianRupees)),Encashment Of Earned Leave(El) (UOM:INR(IndianRupees)),Transport (UOM:INR(IndianRupees))
India,"Financial Year (Apr - Mar), 2003",ENVIRONMENT AND FORESTS,,3342.53,1932.05,372.14,57.91,64.46,308.25,275.98,84.58,10.61,52.72,57.83
India,"Financial Year (Apr - Mar), 2002","EDUCATION ( ELEMENTARY , SECONDAY AND HIHGER SEC . )",,1562.33,801.72,196.15,32.21,25.44,91.34,114.55,31.57,14.2,22.42,35.32
India,"Financial Year (Apr - Mar), 2010",EARTH SCIENCES,,128.59,53.94,20.13,,0.02,11.16,5.63,1.15,0.19,2.24,15.43
India,"Financial Year (Apr - Mar), 2017",ATOMIC ENERGY,,2470.61,123.53,173.22,,29.37,1084.22,45.7,0,0.39,81.66,135.77
India,"Financial Year (Apr - Mar), 2002",INFORMATION AND BROADCASTING,,4435.61,2260.23,608.84,110.79,67.12,206.09,326.33,96.46,40.68,42.38,122.15
India,"Financial Year (Apr - Mar), 2021",HOUSING AND URBAN AFFAIRS,,1110.51,283.22,137.39,,1.33,59.47,17.59,8.49,1.8,1.08,73.99
India,"Financial Year (Apr - Mar), 2020",PHARMACEUTICALS,,4.16,0.7,0.72,,0,0.2,0.51,0.02,0.02,0.39,0.59
India,"Financial Year (Apr - Mar), 2006",CIVIL AVIATION,,13.89,3.82,1.28,0.22,0.19,0.93,1.84,0.21,0.03,0.18,0.13
India,"Financial Year (Apr - Mar), 2008",TELECOMMUNICATIONS,,55.89,11.74,8.37,0.37,0.42,4.6,6.86,0.55,0.22,1.68,2.69
India,"Financial Year (Apr - Mar), 2000",PRESIDENT'S SECRETARIAT,,198.85,80.28,4.35,7.06,7.59,11.28,0.68,6.15,1.99,2.16,2.55
India,"Financial Year (Apr - Mar), 2006",WATER RESOURCES,,128.86,35.29,17.24,2.41,0.3,11.01,11.19,1.93,0.27,4.44,2.4
India,"Financial Year (Apr - Mar), 2000",PETROLEUM AND NATURAL GAS,,216.49,86.6,28.21,7.19,3.05,11.55,12.9,4.52,0.27,4.72,8.24
India,"Financial Year (Apr - Mar), 2017",FOOD AND PUBLIC DISTRIBUTION,,54.36,2.81,5.44,,0.03,2.81,2.05,0.35,0.31,1.95,3.62
India,"Financial Year (Apr - Mar), 2014",CABINET SECRETARIAT,,7.77,7.94,0.9,,0.09,1.25,1.14,0.06,0.12,0.46,1.24
India,"Financial Year (Apr - Mar), 2001",EXPENDITURE,,736.4,323.81,121.52,23.9,15.94,24.4,69.67,18.31,10.39,33.51,25.45
India,"Financial Year (Apr - Mar), 2020",POSTS,,9325.27,1565.62,934.2,,6.84,547.85,123.21,266.83,3.26,397.46,652.77
India,"Financial Year (Apr - Mar), 2013",HIGHER EDUCATION,,27.09,24.23,5.95,,0.05,4.01,2.71,0.31,0.31,0,3.71
India,"Financial Year (Apr - Mar), 2020",UNION PUBLIC SERVICE COMMISSION,,73.88,12.87,10.91,,0.01,6.81,0.26,0.54,1.79,3.95,6.3
India,"Financial Year (Apr - Mar), 2006",SCHOOL EDUCATION AND LITERACY,,2.44,0.67,0.39,0.04,0.04,0.29,0.83,0.04,0,0.07,0.02
India,"Financial Year (Apr - Mar), 2002",STEEL,,403.07,206.84,76.04,14.16,3.73,13.04,52.95,11.12,1.64,11.27,11.95
India,"Financial Year (Apr - Mar), 2017",CORPORATE AFFAIRS,,90.77,5,12.5,,0.02,4.91,4.35,0.5,0.14,2.54,6.61
India,"Financial Year (Apr - Mar), 2010",SPACE,,479.07,189.94,71.6,,0.89,162.45,35.92,1.38,0.33,28.54,29.52
India,"Financial Year (Apr - Mar), 2014",POSTS,,5069.38,5069.39,531.4,,15.79,404.81,71.57,228.54,9.87,308.72,472.39
India,"Financial Year (Apr - Mar), 2012","CHEMICALS , PETROCHEMICALS AND PHARMACEUTICALS",,7.89,5.36,1.38,,0.01,0.78,1.54,0.04,0.05,0.46,0.82
India,"Financial Year (Apr - Mar), 2014",ECONOMIC AFFAIRS,,25.99,26.47,4.3,,0.07,3.44,2.13,0.19,0.6,0.15,4.67
India,"Financial Year (Apr - Mar), 2010",CORPORATE AFFAIRS,,32.68,15.64,4.86,,0.06,4.23,2.67,0.33,0.02,0.75,3.96
India,"Financial Year (Apr - Mar), 2009",FOOD PROCESSING INDUSTRIES,,5.52,1.06,0.56,,0.07,0.79,1.83,0.03,0.02,0.38,0.54
India,"Financial Year (Apr - Mar), 2014",LAW AND JUSTICE,,48.37,51.27,7.81,,0.18,6.77,4.09,0.46,0.48,1.04,7.57
India,"Financial Year (Apr - Mar), 2012",ENVIRONMENT AND FORESTS,,69.11,45.52,9.69,,0.13,11.56,17.6,0.73,0.31,3.4,7.19
India,"Financial Year (Apr - Mar), 2009",HEALTH AND FAMILY WELFARE,,750.96,148.7,106.65,,0.78,117.2,12.87,6.31,0.34,15.9,59.45
India,"Financial Year (Apr - Mar), 2001",COMMERCE,,8373.98,3766.1,1236.55,199.45,136.54,395.73,456.01,123.29,21.65,99.9,199.42
India,"Financial Year (Apr - Mar), 2019",AGRICULTURAL RESEARCH AND EDUCATION,,3.71,0.56,0.58,,0,0.42,0.5,0.01,0,0,0.3
India,"Financial Year (Apr - Mar), 2006",VICE PRESIDENT'S SECRETARIAT,,0.46,0.13,0.04,0.01,0.05,0.03,0.04,0.01,0,0,0.01
India,"Financial Year (Apr - Mar), 2015",COMMERCE,,140,162.4,23.41,,0.27,18.26,27.08,1.14,0.66,3.89,20.02
India,"Financial Year (Apr - Mar), 2003",HEAVY INDUSTRY,,180.5,105.88,16.5,2.44,4.15,14.35,41.58,4.26,2.09,0,2.53
India,"Financial Year (Apr - Mar), 2012",COMMERCE,,140.96,95.88,33.54,,0.28,32.62,23.33,1.4,0.31,0.53,14.43
India,"Financial Year (Apr - Mar), 2000",SPACE,,14616.37,5686.74,1516.72,247.23,164.28,1485.67,1458.22,178.56,8.98,400.03,85.65
India,"Financial Year (Apr - Mar), 2014",AGRICULTURAL RESEARCH AND EDUCATION,,1.1,1.14,0.21,,0,0.32,0.27,0.01,0,0,0.12
India,"Financial Year (Apr - Mar), 2009",YOUTH AFFAIRS AND SPORTS,,9.06,1.74,1.28,,0.07,0.79,1.25,0.01,0.1,0,0.91
India,"Financial Year (Apr - Mar), 2008",CORPORATE AFFAIRS,,30.81,7.99,5,0.3,0.09,1.14,1.4,0.54,0.04,0.56,0.34
India,"Financial Year (Apr - Mar), 2010",HEALTH AND FAMILY WELFARE,,632.57,230.19,104.99,,0.51,91.71,13.66,6.56,1.05,19.24,65.11
India,"Financial Year (Apr - Mar), 2015",HEALTH AND FAMILY WELFARE,,634.33,742.17,115.05,,0.25,134.15,15.42,6.27,0.29,19.65,76.06
India,"Financial Year (Apr - Mar), 2010",REVENUE,,2362.63,979.13,348.09,,6.46,200.97,95.14,17.63,2.4,69.15,187.8
India,"Financial Year (Apr - Mar), 2019",ATOMIC ENERGY,,2440.21,384.31,207.64,,43.68,1016.53,63.03,0,0.43,109.18,154.8
India,"Financial Year (Apr - Mar), 2013",TELECOMMUNICATIONS,,92.89,80.75,15.32,,0.25,12.51,14.41,0.29,0.46,8.9,11.74
India,"Financial Year (Apr - Mar), 2013",AYUSH,,4.1,3.6,0.8,,0.01,0.28,0.6,0.02,0.01,0.75,0.62
India,"Financial Year (Apr - Mar), 2010",DEVELOPMENT OF NE REGION,,6.82,2.68,0.65,,0.06,1.36,1.3,0.05,0.04,0.11,0.3
India,"Financial Year (Apr - Mar), 2014",CONSUMER AFFAIRS,,19.89,21.19,3.51,,0.03,2.75,1,0.14,0.09,1.51,3.67
India,"Financial Year (Apr - Mar), 2014",TEXTILES,,66.91,70.03,11.1,,0.08,9.9,7.35,0.91,0.1,2.72,8.11
India,"Financial Year (Apr - Mar), 2008",PUBLIC ENTERPRISES,,2.22,0.47,0.41,0.01,0.02,0.05,0.01,0.03,0,0.09,0.11
India,"Financial Year (Apr - Mar), 2020",INFORMATION AND BROADCASTING,,208.88,35.36,27.21,,0.01,12.47,4.24,1.15,0.55,8.05,17.21
India,"Financial Year (Apr - Mar), 2020",REVENUE,,6987.56,1180.2,875.78,,1.46,301.9,117.8,38.91,5.35,56.24,439.25
India,"Financial Year (Apr - Mar), 2018",POWER,,99.09,8.86,7.96,,0.01,5.2,5.7,0.51,0.16,4.64,6.08
India,"Financial Year (Apr - Mar), 2020",CORPORATE AFFAIRS,,92.09,15.92,14.85,,0,8.52,7.73,0.47,0.14,3,6.96
India,"Financial Year (Apr - Mar), 2012",MINORITY AFFAIRS,,4.24,2.88,0.74,,0.02,0.4,0.6,0.03,0,0,0.44
India,"Financial Year (Apr - Mar), 2012",EARTH SCIENCES,,120.87,82.99,18.84,,0,22.56,7.94,1.4,0.07,10,14.6
India,"Financial Year (Apr - Mar), 2018",TELECOMMUNICATIONS,,300.48,24.04,39.84,,0.03,25.66,28.5,0.45,0.46,9.73,24.12
India,"Financial Year (Apr - Mar), 2010",VICE PRESIDENT'S SECRETARIAT,,0.85,0.37,0.07,,0.05,0.1,0.47,0.01,0,0.05,0.11
India,"Financial Year (Apr - Mar), 2007",ROAD TRANSPORT AND HIGHWAYS,,22.01,8.37,3.01,0.42,0.09,0.99,1.29,0.31,0.13,0.61,0.37
India,"Financial Year (Apr - Mar), 2007",LAW AND JUSTICE,,28.12,11.17,4.27,0.65,0.44,1.35,1.58,0.4,0.35,0.4,0.63
India,"Financial Year (Apr - Mar), 2007",COAL,,4.15,1.6,0.63,0.1,0.03,0.2,0.85,0.07,0.06,0.14,0.1
India,"Financial Year (Apr - Mar), 2001",POWER,,2105.67,949.06,233.17,36.63,48.95,134.05,157.55,35.33,1.44,19.25,40.68
India,"Financial Year (Apr - Mar), 2002",COAL,,266.84,137.48,40.46,7.88,1.39,8.96,69.4,4.51,5.41,10.48,6.71
India,"Financial Year (Apr - Mar), 2015",FINANCIAL SERVICES,,26.91,31.39,4.73,,0.05,4.43,1.27,0.25,0.1,0.63,3
India,"Financial Year (Apr - Mar), 2017",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,3414.89,171.85,415.01,,0.07,178.14,194.98,18.89,6.24,108.39,200.07
India,"Financial Year (Apr - Mar), 2019",PRESIDENT'S SECRETARIAT,,20.15,2.79,0.67,,0.05,1.88,0.09,0.13,0.14,0.62,1.48
India,"Financial Year (Apr - Mar), 2012",LAW AND JUSTICE,,49.09,33.2,8.08,,0.18,5.66,3.11,0.45,0.64,1.19,6.64
India,"Financial Year (Apr - Mar), 2013",INFORMATION TECHNOLOGY,,194.74,179.78,33.13,,0.15,22.31,9.51,0.48,0.46,5.5,24.26
India,"Financial Year (Apr - Mar), 2007",TELECOMMUNICATIONS,,33.86,13.21,5.14,0.65,0.32,1.95,5.2,0.39,0.04,0,0.7
India,"Financial Year (Apr - Mar), 2017",PANCHAYATI RAJ,,6.39,0.34,0.5,,0,0.33,0.82,0.02,0.01,0.74,0.42
India,"Financial Year (Apr - Mar), 2012",FOOD AND PUBLIC DISTRIBUTION,,18.49,12.98,3.4,,0.06,8.96,2.37,0.17,0.22,3.12,2.45
India,"Financial Year (Apr - Mar), 2003",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,44505.28,25799.43,6418.69,1025.21,39.04,2613.94,4969.19,1042.64,261.85,1103.04,1064.01
India,"Financial Year (Apr - Mar), 2017",ENVIRONMENT AND FORESTS,,180.52,8.84,17.05,,0.06,15.48,5.66,1.74,0.31,2.23,12.81
India,"Financial Year (Apr - Mar), 2016",EXPENDITURE,,60.22,16.01,4.02,,0.02,4.21,2.05,0.35,0.26,2.69,4.4
India,"Financial Year (Apr - Mar), 2008",COAL,,7.12,1.52,1.04,0.08,0.04,0.42,0.89,0.23,0.09,0.14,0.41
India,"Financial Year (Apr - Mar), 2021",DRINKING WATER AND SANITATION,,10.71,2.83,1.39,,0,0.78,0.04,0.04,0.05,0.02,0.83
India,"Financial Year (Apr - Mar), 2002",ANIMAL HUSBANDRY AND DAIRYING,,2711.5,1398.64,338.46,57.39,76.4,203.56,83.65,112.05,7.74,30.39,50.32
India,"Financial Year (Apr - Mar), 2019",CORPORATE AFFAIRS,,100.92,15.98,16.17,,0,6.49,6.08,0.55,0.04,3.84,7.7
India,"Financial Year (Apr - Mar), 2013",HEALTH AND FAMILY WELFARE,,634.82,542.39,110.26,,0.3,121.37,14.86,6.24,0.11,18.19,74.63
India,"Financial Year (Apr - Mar), 2007",SHIPPING,,24.3,9.41,2.87,0.39,0.11,3.15,3.58,0.39,0.08,0.73,0.31
India,"Financial Year (Apr - Mar), 2013",EXPENDITURE,,22.97,20.23,4.25,,0.05,2.71,2.03,0.18,0.07,0.85,3.94
India,"Financial Year (Apr - Mar), 2001",TELECOMMUNICATIONS,,1336.83,546.28,222.41,34.58,25.06,69.37,341.81,48.33,5.49,1664.07,44.06
India,"Financial Year (Apr - Mar), 2001",COMPANY AFFAIRS,,1952.68,882.42,198.92,28.43,49.82,133.86,47.42,22.31,0,0,32.34
India,"Financial Year (Apr - Mar), 2019",BIO - TECHNOLOGY,,16.75,2.55,1.98,,0.01,0.81,1.61,0.06,0.05,1.46,1.41
India,"Financial Year (Apr - Mar), 2015",ROAD TRANSPORT AND HIGHWAYS,,23.66,27.68,4.67,,0.01,3.57,4.46,0.18,0.23,1.57,4
India,"Financial Year (Apr - Mar), 2012",PRIME MINISTER'S OFFICE,,9,7.35,1.03,,0.19,1.5,1.34,0.1,0.16,0.13,1.68
India,"Financial Year (Apr - Mar), 2009",ECONOMIC AFFAIRS,,33.48,6.1,4.72,,1.06,2.63,3.9,0.49,0.65,0.85,3.31
India,"Financial Year (Apr - Mar), 2001",EXTERNAL AFFAIRS,Excluding missions abroad(*),2883.52,1303.06,293.74,41.98,73.57,197.67,694.13,60.7,5.43,66.34,47.76
India,"Financial Year (Apr - Mar), 2019",HEALTH RESEARCH,,2.29,0.34,0.35,,0,0.17,0.83,0.01,0,0.04,0.19
India,"Financial Year (Apr - Mar), 2018",HEALTH AND FAMILY WELFARE,,1655.84,135.63,245.61,,0.93,126.11,32.17,8.33,0.58,25.09,135.37
India,"Financial Year (Apr - Mar), 2008",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,1065.63,241.49,159.66,7.01,0.18,44.57,71.66,14.62,4.63,42.35,42.41
India,"Financial Year (Apr - Mar), 2018",SHIPPING,,106.07,9.12,8.64,,0.01,12.53,9.89,0.91,0.1,2.32,6.15
India,"Financial Year (Apr - Mar), 2019",FERTILIZERS,,14.07,2.11,1.95,,0.01,0.69,0.65,0.08,0.07,0.15,1.08
India,"Financial Year (Apr - Mar), 2016",NEW AND RENEWABLE ENERGY,,15.83,3.96,1,,0,0.79,1.26,0.06,0.05,0,1.18
India,"Financial Year (Apr - Mar), 2005",ENVIRONMENT AND FORESTS,,42.49,8.87,4.96,0.75,1.18,2.95,2.45,0.94,0.02,0.56,0.46
India,"Financial Year (Apr - Mar), 2002",COMPANY AFFAIRS,,1957.37,990.23,186.73,26.62,45.41,132.91,47.42,22.31,0,0,28.19
India,"Financial Year (Apr - Mar), 2012",HEAVY INDUSTRY,,5.19,3.66,0.82,,0.03,0.65,1.05,0.06,0.07,0.17,0.8
India,"Financial Year (Apr - Mar), 2010",DISINVESTMENT,,1.37,0.63,0.18,,0.01,0.49,1.45,0.01,0.01,0,0.14
India,"Financial Year (Apr - Mar), 2006",POWER,,28.2,7.8,2.81,0.46,0.12,1.14,4.54,0.53,0.04,0.71,0.3
India,"Financial Year (Apr - Mar), 2015",POSTS,,4644.1,5526.41,543.5,,16.03,383.49,81.5,200.73,5.82,287.64,505.66
India,"Financial Year (Apr - Mar), 2000",SURFACE TRANSPORT,,2933.58,1134.63,396.86,74.47,17.41,300.02,295.22,74.51,13.17,34.42,70.93
India,"Financial Year (Apr - Mar), 2009",SOCIAL JUSTICE AND EMPOWERMENT,,19.74,4.14,2.96,,0.11,0.96,1.69,0.18,0.12,0.81,1.17
India,"Financial Year (Apr - Mar), 2017","CHEMICALS , PETROCHEMICALS AND PHARMACEUTICALS",,13.91,0.7,1.69,,0,0.72,1.74,0.09,0.11,0.52,0.82
India,"Financial Year (Apr - Mar), 2021",EXPENDITURE,,80.15,20.84,12.02,,0.03,5.77,1.7,0.34,0.36,1.65,7.1
India,"Financial Year (Apr - Mar), 2017",RAILWAYS,,55703.51,3026.6,4390.24,,1252.7,6281.81,1706.1,1994.42,9.21,1805.37,2949.71
India,"Financial Year (Apr - Mar), 2005",COAL,,3.82,0.8,0.46,0.08,0.05,0.2,0.58,0.07,0.03,0.04,0.06
India,"Financial Year (Apr - Mar), 2021",DEVELOPMENT OF NE REGION,,17.28,4.41,1.64,,0,1.42,0.46,0.1,0.05,0.44,1.02
India,"Financial Year (Apr - Mar), 2002",UNION PUBLIC SERVICE COMMISSION,,1252.07,647.59,221.56,45.5,11.96,56.65,80.18,36.74,47.48,37.07,41.37
India,"Financial Year (Apr - Mar), 2003","EDUCATION ( ELEMENTARY , SECONDAY AND HIHGER SEC . )",,1473.44,848.27,156.16,25.31,27.47,112.27,124.07,37.16,11.16,29.51,28.87
India,"Financial Year (Apr - Mar), 2001",POSTS,,175266.41,83422.42,20697.01,2455.15,4639.52,8409.12,2797.15,15759.15,775.58,5490.41,3580.87
India,"Financial Year (Apr - Mar), 2000",HEALTH,,18989.94,7661.54,2380.97,391.52,223.12,2306.89,312.99,459.44,18.88,127.04,372.35
India,"Financial Year (Apr - Mar), 2007",INDUSTRIAL POLICY AND PROMOTION,,30.03,12.05,4.32,0.7,0.26,1.5,3.03,0.56,0.23,0.57,0.66
India,"Financial Year (Apr - Mar), 2020",ATOMIC ENERGY,,2421.83,405.43,200.78,,14.87,635.47,20.24,0,0.26,114.52,136.13
India,"Financial Year (Apr - Mar), 2018",ATOMIC ENERGY,,2468.49,216.1,210.7,,58.38,1008.42,60.44,0,0.38,87.07,149.29
India,"Financial Year (Apr - Mar), 2003",MINES,,10979.59,6242.16,1602.89,249.07,41.23,548.86,1431.57,245.02,15.12,63.31,318.35
India,"Financial Year (Apr - Mar), 2003",PRIME MINISTER'S OFFICE,,304.43,187.94,37.05,11.18,27.11,41.92,148.32,9.44,8.7,8.12,9.31
India,"Financial Year (Apr - Mar), 2016",POWER,,79.24,20.57,6.14,,0.02,9.8,3.81,0.62,0.18,2.89,6.47
India,"Financial Year (Apr - Mar), 2018","MICRO , SMALL AND MEDIUM ENTERPRISES",,115.49,7.53,16.59,,0,11.74,3.88,0.64,0,2.42,8.55
India,"Financial Year (Apr - Mar), 2006",TRIBAL AFFAIRS,,2.69,0.86,0.5,0.05,0.05,0.22,0.59,0.04,0.01,0.1,0.03
India,"Financial Year (Apr - Mar), 2000",CHEMICALS AND PETROCHEMICALS,,198.45,76.13,35.22,6.28,6.69,8.44,24.26,4.12,1.17,14.24,8.09
India,"Financial Year (Apr - Mar), 2015",STEEL,,6.36,7.11,1.02,,0,0.58,0.78,0.04,0.11,0,1.26
India,"Financial Year (Apr - Mar), 2020",MINES,,488.21,83.28,85.05,,0,25.57,33.92,2.3,0.36,25.89,42.35
India,"Financial Year (Apr - Mar), 2012",TOURISM,,9.48,6.17,1.7,,0.04,1.13,2.35,0.09,0.06,0.22,1.17
India,"Financial Year (Apr - Mar), 2015",CIVIL AVIATION,,21.08,24.82,3.47,,0.01,2.14,3.4,0.15,0.15,0.34,3.84
India,"Financial Year (Apr - Mar), 2019",HIGHER EDUCATION,,65.84,9.41,9.44,,0,5.15,2.43,0.38,0.32,3.1,4.74
India,"Financial Year (Apr - Mar), 2013",PRESIDENT'S SECRETARIAT,,6.23,5.14,0.29,,0.08,1.03,0.07,0.07,0.14,0.2,0.92
India,"Financial Year (Apr - Mar), 2001",YOUTH AFFAIRS AND SPORTS,,283.46,123.67,35.52,5.45,6.88,18.4,50.21,7.39,0.74,2.75,6.71
India,"Financial Year (Apr - Mar), 2018",AGRICULTURAL RESEARCH AND EDUCATION,,3.58,0.21,0.56,,0,0.41,0.34,0.01,0,0,0.29
India,"Financial Year (Apr - Mar), 2008",WOMEN AND CHILD DEVELOPMENT,,11.36,2.5,1.58,0.06,0.04,0.83,0.73,0.17,0.05,0.8,0.6
India,"Financial Year (Apr - Mar), 2008",SPACE,,455.55,98.32,45.78,1.42,1.22,165.16,55.88,0.63,0.17,26.88,11.23
India,"Financial Year (Apr - Mar), 2007",EXPENDITURE,,10.38,4.06,1.75,0.27,0.16,0.71,1.22,0.16,0.07,0.1,0.25
India,"Financial Year (Apr - Mar), 2021","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,554.48,144.17,84.17,,0.17,62.18,27.42,3.35,0.54,19.63,41.88
India,"Financial Year (Apr - Mar), 2007",STATISTICS AND PROGRAMME IMPLEMENTATION,,66.3,26.1,10.69,1.08,0.1,2.58,6.6,0.83,0.06,1.77,1.15
India,"Financial Year (Apr - Mar), 2021",HIGHER EDUCATION,,65.3,17.27,9.14,,0,4.49,1.31,0.36,0.32,3.08,4.86
India,"Financial Year (Apr - Mar), 2010",FERTILIZERS,,8.02,3.48,1.42,,0.09,1.16,1.01,0.08,0.1,1.1,0.99
India,"Financial Year (Apr - Mar), 2009",TELECOMMUNICATIONS,,89.74,16.77,10.46,,0.29,5.81,7.85,0.45,0.21,4.69,5.55
India,"Financial Year (Apr - Mar), 2010",STEEL,,7.01,2.87,1.32,,0.08,0.68,0.63,0.06,0.1,0.39,0.8
India,"Financial Year (Apr - Mar), 2016",FERTILIZERS,,16.94,4.51,1.08,,0.02,0.75,0.3,0.05,0.04,1.45,1.13
India,"Financial Year (Apr - Mar), 2019",COAL,,18.65,2.62,2.21,,0.01,1.17,1.32,0.07,0.09,0.33,1.38
India,"Financial Year (Apr - Mar), 2019",NEW AND RENEWABLE ENERGY,,17.17,2.57,2.06,,0,1.52,0.72,0.14,0.45,1.14,1.5
India,"Financial Year (Apr - Mar), 2012",HEALTH AND FAMILY WELFARE,,626.89,434.05,115.05,,0.37,118.1,13.08,6.35,0.19,23.21,92.74
India,"Financial Year (Apr - Mar), 2002",TELECOMMUNICATIONS,,1935.21,1044.02,328.62,58.03,27.94,80.55,319.59,39.93,11.83,3202.98,60.09
India,"Financial Year (Apr - Mar), 2020",COMMERCE,,282.43,47.04,36.68,,0.02,15.35,27.95,1.09,0.51,8.11,17.17
India,"Financial Year (Apr - Mar), 2017",LABOUR AND EMPLOYMENT,,390.74,19.9,32.66,,0.06,25.18,15.44,2.79,0.59,14.04,21.63
India,"Financial Year (Apr - Mar), 2012","ANIMAL HUSBANDRY , DAIRYING AND FISHERIES",,53.73,37.81,7.27,,1.15,6.91,3.78,0.93,0.9,3.77,7.04
India,"Financial Year (Apr - Mar), 2018",FINANCIAL SERVICES,,101.21,8.1,5.2,,0,2.17,0.79,0.26,0,0,2.26
India,"Financial Year (Apr - Mar), 2006",EARTH SCIENCES,,72.17,20.8,10.24,1.7,2.71,5.06,3.66,1.11,0.14,0.99,1.17
India,"Financial Year (Apr - Mar), 2012",LABOUR AND EMPLOYMENT,,135.25,88.17,14.73,,0.09,13.47,14.92,1.37,0.19,3.9,9.49
India,"Financial Year (Apr - Mar), 2007",WOMEN AND CHILD DEVELOPMENT,,6.86,2.72,1.21,0.15,0.04,0.35,1.27,0.12,0.04,0.44,0.17
India,"Financial Year (Apr - Mar), 2001",FOOD PROCESSING INDUSTRIES,,151.18,67.94,18.66,2.79,3.17,9,31.13,2.54,0.84,3.06,3.51
India,"Financial Year (Apr - Mar), 2000",TOURISM,,380.03,147.62,67.35,10.99,8.29,21.52,47.48,9.63,0.45,3.09,10.94
India,"Financial Year (Apr - Mar), 2021",STATISTICS AND PROGRAMME IMPLEMENTATION,,274.56,70.64,27.56,,0,15.49,22.48,1.4,0.17,9.48,18.02
India,"Financial Year (Apr - Mar), 2001",ANIMAL HUSBANDRY AND DAIRYING,,2996.38,1329.21,415.03,70.98,99.43,184.04,83.42,165.24,6.67,89.46,59.84
India,"Financial Year (Apr - Mar), 2018",PRESIDENT'S SECRETARIAT,,17.22,1.38,1.19,,0.07,0.32,0.01,0.13,0.13,0.59,1.31
India,"Financial Year (Apr - Mar), 2003",BIO - TECHNOLOGY,,173.92,102.02,15.9,2.35,4,13.83,65.08,3.39,3.04,0,2.43
